날짜,시간대별시간,업종명,목적지광역시도명,목적지시군구명,주문건수,시간대별시간(강서구),주문건수(강서구)
2020-01-01,15,카페/디저트,서울특별시,노원구,3,18,1
2020-01-01,15,카페/디저트,서울특별시,도봉구,2,19,1
2020-01-01,15,카페/디저트,서울특별시,동작구,9,22,2
2020-01-01,15,카페/디저트,서울특별시,성북구,1,18,1
2020-01-01,15,카페/디저트,서울특별시,양천구,4,20,1
2020-01-01,15,카페/디저트,서울특별시,영등포구,1,18,1
2020-01-01,15,카페/디저트,서울특별시,은평구,4,20,1
2020-01-01,16,카페/디저트,서울특별시,강북구,1,22,1
2020-01-01,16,카페/디저트,서울특별시,관악구,14,11,1
2020-01-01,16,카페/디저트,서울특별시,구로구,13,22,1
2020-01-01,16,카페/디저트,서울특별시,금천구,6,16,1
2020-01-01,16,카페/디저트,서울특별시,노원구,2,15,1
2020-01-01,16,카페/디저트,서울특별시,도봉구,5,16,1
2020-01-01,16,카페/디저트,서울특별시,동작구,13,22,1
2020-01-01,16,카페/디저트,서울특별시,서대문구,1,19,1
2020-01-01,16,카페/디저트,서울특별시,성북구,4,22,1
2020-01-01,16,카페/디저트,서울특별시,영등포구,1,13,1
2020-01-01,17,카페/디저트,서울특별시,강북구,2,12,1
2020-01-01,17,카페/디저트,서울특별시,관악구,13,16,1
2020-01-01,17,카페/디저트,서울특별시,구로구,20,18,1
2020-01-01,17,카페/디저트,서울특별시,금천구,4,19,1
2020-01-01,17,카페/디저트,서울특별시,노원구,1,23,1
2020-01-01,17,카페/디저트,서울특별시,도봉구,6,19,2
2020-01-01,17,카페/디저트,서울특별시,동작구,14,20,1
2020-01-01,17,카페/디저트,서울특별시,성북구,3,14,1
