날짜,음식섭취등수값,음식명,음식섭취수,음식섭취비율,사용자연령값,시간
2020-01-24,4, 팥빵,1,16.666667, [0-19],3
2020-01-24,4, 식빵,4,3.636364, [0-19],16
2020-01-04,4, 붕어빵,2,2.666667, [20-29],12
2020-01-05,4, 찐빵(호빵),1,14.285714, [20-29],7
2020-01-08,4, 식빵,1,3.333333, [20-29],10
2020-01-10,4, 붕어빵,4,4.255319, [0-19],16
2020-01-11,4, 식빵,2,4, [20-29],15
2020-01-11,4, 호밀빵,2,3.636364, [0-19],22
2020-01-16,4, 호밀빵,2,4.081633, [20-29],8
2020-01-18,4, 찐빵(피자),2,2.298851, [20-29],19
2020-01-24,4, 식빵,2,5.714286, [0-19],21
2020-01-28,4, 식빵(쨈),2,12.5, [0-19],7
2020-01-28,4, 옥수수식빵,1,3.846154, [0-19],23
2020-01-29,4, 찐빵(채소),1,2.631579, [0-19],9
2020-01-30,4, 곰보빵,1,10, [20-29],6
2020-01-03,5, 붕어빵,1,3.571429, [20-29],16
2020-01-09,5, 맘모스빵,1,9.090909, [20-29],6
2020-01-09,5, 팥빵,1,2.564103, [20-29],7
2020-01-05,5, 식빵,2,5.405405, [0-19],8
2020-01-10,5, 식빵,1,2.941176, [20-29],9
2020-01-10,5, 곰보빵,1,2.5, [20-29],15
2020-01-12,5, 팥빵,1,5.263158, [20-29],8
2020-01-19,5, 식빵,1,2.777778, [0-19],9
2020-01-21,5, 찐빵(호빵),1,11.111111, [0-19],2
2020-01-23,5, 식빵,2,2.564103, [0-19],9
2020-01-26,5, 모닝빵,1,2.083333, [0-19],20
2020-01-28,5, 식빵,1,2.325581, [20-29],16
2020-01-28,5, 붕어빵,1,14.285714, [20-29],3
2020-01-02,5, 식빵,2,2.898551, [0-19],16
2020-01-08,5, 초코소라빵,1,2, [0-19],22
2020-01-08,5, 식빵,1,9.090909, [0-19],23
2020-01-10,5, 식빵,2,2.941176, [20-29],9
2020-01-12,5, 식빵,1,5.555556, [20-29],9
2020-01-13,5, 식빵,2,2.298851, [20-29],18
2020-01-14,5, 슈크림빵,1,2.439024, [20-29],20
2020-01-17,5, 붕어빵,1,2.272727, [20-29],16
2020-01-18,5, 식빵,3,3.703704, [0-19],10
2020-01-19,5, 식빵,1,14.285714, [20-29],6
2020-01-19,5, 찐빵(팥),1,11.111111, [20-29],23
2020-01-24,5, 식빵(쨈),1,4, [0-19],8
2020-01-26,5, 옥수수식빵,1,2.325581, [0-19],14
2020-01-29,5, 붕어빵,2,3.921569, [0-19],15
2020-01-31,5, 식빵,2,2.105263, [0-19],18
2020-01-01,6, 식빵(쨈),1,2, [20-29],19
2020-01-02,6, 쏘세지빵,3,2.173913, [0-19],13
2020-01-03,6, 열두가지 곡물식빵,1,14.285714, [20-29],1
2020-01-03,6, 팥빵,1,9.090909, [20-29],23
2020-01-09,6, 식빵(쨈),1,5.882353, [0-19],0
2020-01-06,6, 식빵,2,2.105263, [0-19],15
2020-01-11,6, 고구마빵,1,1.666667, [20-29],14
2020-01-14,6, 호떡빵,3,2.439024, [0-19],20
2020-01-15,6, 찐빵(채소),1,3.030303, [20-29],10
2020-01-18,6, 우유식빵,2,1.37931, [0-19],17
2020-01-20,6, 피자빵,1,6.25, [20-29],2
2020-01-21,6, 호밀빵,1,3.448276, [20-29],10
2020-01-21,6, 식빵,3,2.255639, [0-19],10
2020-01-23,6, 식빵,2,2.272727, [0-19],8
2020-01-24,6, 찐빵(호빵),1,5.263158, [0-19],1
2020-01-27,6, 식빵,1,2.325581, [20-29],11
2020-01-30,6, 호밀빵,1,4.166667, [20-29],6
2020-01-31,6, 우유식빵,2,2.739726, [0-19],9
2020-01-05,6, 호밀빵,1,2.857143, [20-29],10
2020-01-08,6, 팥빵,1,9.090909, [0-19],23
2020-01-14,6, 식빵,2,2.197802, [20-29],18
2020-01-16,6, 찐빵(피자),3,3.26087, [0-19],16
2020-01-16,6, 붕어빵,3,2.027027, [0-19],19
2020-01-16,6, 국화빵,1,2.5, [20-29],15
2020-01-17,6, 붕어빵,2,2.531646, [0-19],18
2020-01-17,6, 식빵,2,3.174603, [20-29],8
2020-01-17,6, 바게트빵,2,2.197802, [20-29],13
2020-01-17,6, 붕어빵,1,3.125, [20-29],22
2020-01-19,6, 식빵,2,3.174603, [0-19],15
2020-01-21,6, 바나나빵,1,2.777778, [20-29],14
2020-01-22,6, 쏘세지빵,1,4, [0-19],21
2020-01-22,6, 메론빵,1,6.25, [20-29],22
2020-01-29,6, 식빵,3,3.26087, [0-19],11
2020-01-29,6, 식빵,1,14.285714, [20-29],6
2020-01-31,6, 식빵,1,5.882353, [20-29],10
2020-01-31,6, 완두앙금빵,1,6.25, [0-19],7
2020-01-03,7, 붕어빵,1,2.439024, [20-29],15
2020-01-06,7, 식빵(쨈),2,3.076923, [20-29],11
2020-01-10,7, 삼립호빵(야채),2,1.315789, [0-19],17
2020-01-11,7, 식빵,1,11.111111, [0-19],7
2020-01-14,7, 마늘빵,1,3.703704, [0-19],0
2020-01-14,7, 식빵,1,1.538462, [0-19],21
2020-01-14,7, 식빵,1,10, [0-19],3
2020-01-16,7, 쏘세지빵,1,5.555556, [20-29],14
2020-01-19,7, 찐빵(호빵),1,12.5, [20-29],22
2020-01-21,7, 바나나빵,1,2.380952, [20-29],14
2020-01-22,7, 식빵,3,1.898734, [0-19],11
